Year,Race,Driver,Bet placed,Driver race outcome,Implied probability,Estimated probability,Expected value,Bet outcome,Amount wagered,Units won,Net units won,Cumulative bankroll
2021,Singapore,Charles Leclerc,Odds to Finish Top Six,2,0.8666666666666667,0.8740856023884439,0.008560310448204378,1,382.0,440.7692307692308,58.769230769230774,10058.76923076923
2021,Singapore,Charles Leclerc,Odds to Finish Top Ten,2,0.875,0.929474326854557,0.062256373548065236,1,436.0,498.2857142857143,62.28571428571428,10121.054945054944
2021,Singapore,Lewis Hamilton,Odds to Finish Top Ten,9,0.875,0.914358992688965,0.04498170593024575,1,425.0,485.7142857142857,60.71428571428572,10181.76923076923
2021,Singapore,Carlos Sainz,Odds to Finish Top Ten,3,0.875,0.917244489794397,0.04827941690788218,1,430.0,491.42857142857144,61.428571428571445,10243.197802197801
2021,Singapore,Sergio Perez,Odds to Win,1,0.07692307692307693,0.1711950451899326,1.2255355874691234,1,55.0,715.0,660.0,10903.197802197801
2021,Singapore,Sergio Perez,Odds to Finish Top Three,1,0.6363636363636364,0.7079509973119285,0.11249442434731627,1,285.0,447.8571428571429,162.8571428571429,11066.054945054944
2021,Singapore,Sergio Perez,Odds to Finish Top Six,1,0.8461538461538461,0.9161734844749496,0.0827504816522131,1,468.0,553.0909090909091,85.09090909090912,11151.145854145854
2021,Singapore,Sergio Perez,Odds to Finish Top Ten,1,0.8571428571428571,0.9616586245707331,0.1219350619991888,1,518.0,604.3333333333334,86.33333333333337,11237.479187479188
2021,Singapore,Lando Norris,Odds to Win,4,0.004975124378109453,0.0137790209389921,1.7695832087374121,0,5.0,0.0,-5.0,11232.479187479188
2021,Singapore,Lando Norris,Odds to Finish Top Three,4,0.10526315789473684,0.1260953359840889,0.19790569184884466,0,19.0,0.0,-19.0,11213.479187479188
2021,Singapore,Fernando Alonso,Odds to Win,\N,0.004975124378109453,0.0451501768093014,8.075185538669581,0,23.0,0.0,-23.0,11190.479187479188
2021,Singapore,Fernando Alonso,Odds to Finish Top Three,\N,0.043478260869565216,0.132369631549042,2.044501525627966,0,53.0,0.0,-53.0,11137.479187479188
2021,Singapore,Fernando Alonso,Odds to Finish Top Six,\N,0.4444444444444444,0.4651724521306992,0.04663801729407324,0,127.0,0.0,-127.0,11010.479187479188
2021,Singapore,Pierre Gasly,Odds to Win,10,0.001996007984031936,0.0021044517692531,0.0543303363958032,0,0.0,0.0,0.0,11010.479187479188
2021,Singapore,Pierre Gasly,Odds to Finish Top Three,10,0.024390243902439025,0.03267236197558,0.33956684099878,0,5.0,0.0,-5.0,11005.479187479188
2021,Singapore,Pierre Gasly,Odds to Finish Top Six,10,0.1111111111111111,0.171083719919296,0.539753479273664,0,43.0,0.0,-43.0,10962.479187479188
2021,Singapore,Sebastian Vettel,Odds to Finish Top Six,8,0.09090909090909091,0.0921878548337477,0.01406640317122454,0,5.0,0.0,-5.0,10957.479187479188
2021,Singapore,Lance Stroll,Odds to Finish Top Three,6,0.006622516556291391,0.0066541401877191,0.004775168345584113,0,0.0,0.0,0.0,10957.479187479188
2021,Singapore,Lance Stroll,Odds to Finish Top Six,6,0.058823529411764705,0.0622424175097172,0.05812109766519247,1,4.0,68.0,64.0,11021.479187479188
2021,Singapore,Kevin Magnussen,Odds to Finish Top Six,12,0.043478260869565216,0.051512342906504735,0.184783886849609,0,6.0,0.0,-6.0,11015.479187479188
2021,Singapore,Yuki Tsunoda,Odds to Finish Top Six,\N,0.047619047619047616,0.06670509701424131,0.4008070372990675,0,12.0,0.0,-12.0,11003.479187479188
2021,Singapore,Nicholas Latifi,Odds to Finish Top Six,\N,0.009900990099009901,0.016947905731514206,0.7117384788829348,0,4.0,0.0,-4.0,10999.479187479188
2021,Singapore,Nicholas Latifi,Odds to Finish Top Ten,\N,0.05263157894736842,0.1559619333944365,1.9632767344942939,0,61.0,0.0,-61.0,10938.479187479188
2021,Singapore,Mick Schumacher,Odds to Finish Top Six,13,0.034482758620689655,0.053504041710082786,0.5516172095924008,0,11.0,0.0,-11.0,10927.479187479188
2021,UnitedStates,Max Verstappen,Odds to Finish Top Three,1,0.8,0.9424594917453736,0.1780743646817169,1,490.0,612.5,122.5,11049.979187479188
2021,UnitedStates,Max Verstappen,Odds to Finish Top Six,1,0.8571428571428571,0.9714443899333776,0.13335178825560723,1,523.0,610.1666666666667,87.16666666666674,11137.145854145854
2021,UnitedStates,Max Verstappen,Odds to Finish Top Ten,1,0.8823529411764706,0.9739706036191423,0.10383335076836131,1,530.0,600.6666666666666,70.66666666666663,11207.81252081252
2021,UnitedStates,Lewis Hamilton,Odds to Finish Top Ten,2,0.875,0.9228630807030845,0.05470066366066795,1,479.0,547.4285714285714,68.42857142857144,11276.24109224109
2021,UnitedStates,Carlos Sainz,Odds to Win,\N,0.058823529411764705,0.1705207583572684,1.8988528920735628,0,69.0,0.0,-69.0,11207.24109224109
2021,UnitedStates,Carlos Sainz,Odds to Finish Top Three,\N,0.45454545454545453,0.5859248491291451,0.2890346680841194,0,223.0,0.0,-223.0,10984.24109224109
2021,UnitedStates,Carlos Sainz,Odds to Finish Top Six,\N,0.8333333333333334,0.910953524655265,0.09314422958631807,0,460.0,0.0,-460.0,10524.24109224109
2021,UnitedStates,Carlos Sainz,Odds to Finish Top Ten,\N,0.8571428571428571,0.9632948928467117,0.12384404165449703,0,490.0,0.0,-490.0,10034.24109224109
2021,UnitedStates,George Russell,Odds to Finish Top Ten,5,0.875,0.923786586408812,0.055756098752927974,1,430.0,491.42857142857144,61.428571428571445,10095.669663669662
2021,UnitedStates,Lando Norris,Odds to Win,6,0.004975124378109453,0.0135615423473883,1.7258700118250485,0,4.0,0.0,-4.0,10091.669663669662
2021,UnitedStates,Lando Norris,Odds to Finish Top Three,6,0.06666666666666667,0.12792392042601158,0.9188588063901737,0,35.0,0.0,-35.0,10056.669663669662
2021,UnitedStates,Pierre Gasly,Odds to Finish Top Six,14,0.07692307692307693,0.0892914560125123,0.16078892816265977,0,10.0,0.0,-10.0,10046.669663669662
2021,UnitedStates,Sebastian Vettel,Odds to Finish Top Six,8,0.10526315789473684,0.15761871911604441,0.497377831602422,0,35.0,0.0,-35.0,10011.669663669662
